"Averaging.Time","Stack.Height.meters","X10","X20","X30","X40","X50","X60","X70","X80","X90","X100","X120","X140","X160","X180","X200","X250","X300","X350","X400","X500","X600","X700","X800","X900","X1000","X1500","X2500","X5000","X7500","X10000"
"monthly","17","287","273","229","186","151","91","57","50","43","38","32","27","22","19","17","12","10","8","7","6","5","4","4","4","3","2","1","1","0","0"
"monthly","18","252","241","209","172","144","101","54","45","40","36","30","25","21","18","15","12","9","8","7","5","5","4","4","3","3","2","1","0","0","0"
"monthly","19","223","214","189","158","133","102","56","42","38","34","28","23","20","17","15","11","9","7","6","5","4","4","3","3","3","2","1","0","0","0"
"monthly","20","198","190","172","145","122","101","69","40","35","32","26","22","19","16","14","10","8","7","6","4","4","3","3","3","3","2","1","0","0","0"
"monthly","21","177","170","157","134","113","96","71","40","33","30","25","21","18","15","14","10","8","6","6","4","4","3","3","3","2","2","1","0","0","0"
"monthly","22","160","153","143","124","106","92","73","46","31","28","23","20","17","15","13","10","8","6","5","4","3","3","3","2","2","2","1","0","0","0"
"monthly","23","146","138","131","115","99","86","72","54","31","27","22","19","16","14","13","10","7","6","5","4","3","3","3","2","2","1","1","0","0","0"
"monthly","24","133","126","120","107","93","81","69","53","31","25","21","18","16","13","12","9","7","6","5","4","3","3","2","2","2","1","1","0","0","0"
"monthly","25","121","115","110","99","87","76","67","54","38","24","20","17","15","13","11","9","7","6","5","3","3","2","2","2","2","1","1","0","0","0"
"monthly","26","111","106","101","92","81","71","63","53","41","24","19","16","14","13","11","8","7","5","4","3","3","2","2","2","2","1","1","0","0","0"
"monthly","27","102","98","93","86","76","67","60","52","41","27","18","16","14","12","11","8","6","5","4","3","3","2","2","2","2","1","1","0","0","0"
"monthly","28","94","91","86","80","71","64","56","50","41","31","17","15","13","11","10","8","6","5","4","3","2","2","2","2","2","1","1","0","0","0"
"monthly","29","87","84","79","75","67","60","53","48","41","32","17","14","12","11","10","8","6","5","4","3","2","2","2","2","1","1","1","0","0","0"
"monthly","30","81","78","73","70","63","56","50","46","40","32","16","14","12","11","9","7","6","5","4","3","2","2","2","2","1","1","1","0","0","0"
"monthly","31","75","73","68","65","60","54","48","43","38","33","16","13","12","10","9","7","6","5","4","3","2","2","2","2","1","1","1","0","0","0"
